protein_names,idr_name,start,end
YBL063W,YBL063W_idr_4,543,587
YBL063W,YBL063W_idr_7,605,635
YBL063W,YBL063W_idr_36,940,992
YBL063W,YBL063W_idr_38,1004,1111
YBL064C,YBL064C_idr_1,1,40
YBL066C,YBL066C_idr_1,1,51
YBL066C,YBL066C_idr_4,123,167
YBL066C,YBL066C_idr_9,786,1122
YBL067C,YBL067C_idr_2,211,263
YBL067C,YBL067C_idr_6,314,347
YBL067C,YBL067C_idr_13,695,747
YBL069W,YBL069W_idr_1,1,42
YBL075C,YBL075C_idr_2,607,644
YBL079W,YBL079W_idr_1,1,100
YBL079W,YBL079W_idr_2,711,760
YBL079W,YBL079W_idr_3,795,838
YBL079W,YBL079W_idr_14,472,512
YBL081W,YBL081W_idr_2,33,133
YBL081W,YBL081W_idr_3,156,254
YBL081W,YBL081W_idr_4,256,356
YBL084C,YBL084C_idr_3,213,388
YBL085W,YBL085W_idr_3,901,980
YBL085W,YBL085W_idr_4,79,222
YBL085W,YBL085W_idr_6,290,740
YBL086C,YBL086C_idr_3,117,151
YBL086C,YBL086C_idr_4,213,301
YBL086C,YBL086C_idr_5,360,447
YBL088C,YBL088C_idr_7,760,804
YBL088C,YBL088C_idr_14,1224,1270
YBL088C,YBL088C_idr_21,1415,1444
YBL088C,YBL088C_idr_22,1446,1478
YBL088C,YBL088C_idr_25,1506,1544
YBL088C,YBL088C_idr_37,2161,2195
YBL088C,YBL088C_idr_41,2381,2423
YBL088C,YBL088C_idr_43,2708,2739
YBL091C-A,YBL091C-A_idr_1,134,166
YBL091C,YBL091C_idr_1,1,54
YBL093C,YBL093C_idr_2,180,220
YBL097W,YBL097W_idr_8,109,158
YBL097W,YBL097W_idr_9,226,388
YBL097W,YBL097W_idr_10,416,457
YBL097W,YBL097W_idr_15,519,585
YBL099W,YBL099W_idr_1,1,40
YBL101C,YBL101C_idr_1,1,190
YBL101C,YBL101C_idr_3,744,829
YBL101C,YBL101C_idr_4,891,1117
YBL101C,YBL101C_idr_7,237,310
YBL101C,YBL101C_idr_9,404,440
YBL101C,YBL101C_idr_10,458,509
YBL101C,YBL101C_idr_12,654,687
YBL102W,YBL102W_idr_2,25,67
YBL103C,YBL103C_idr_3,33,287
YBL103C,YBL103C_idr_4,370,469
YBL104C,YBL104C_idr_3,963,995
YBL104C,YBL104C_idr_7,432,492
YBL104C,YBL104C_idr_11,890,939
YBL105C,YBL105C_idr_3,540,816
YBL105C,YBL105C_idr_7,68,97
YBL105C,YBL105C_idr_13,322,362
YBL106C,YBL106C_idr_2,976,1010
YBL106C,YBL106C_idr_10,915,959
YBR001C,YBR001C_idr_2,6,57
YBR003W,YBR003W_idr_3,267,303
YBR005W,YBR005W_idr_5,178,213
YBR007C,YBR007C_idr_1,1,535
YBR010W,YBR010W_idr_1,1,39
YBR014C,YBR014C_idr_4,36,81
YBR016W,YBR016W_idr_1,1,105
YBR021W,YBR021W_idr_1,1,66
YBR021W,YBR021W_idr_3,597,633
YBR023C,YBR023C_idr_1,1,45
YBR023C,YBR023C_idr_2,496,624
YBR023C,YBR023C_idr_11,71,162
YBR024W,YBR024W_idr_1,1,82
YBR028C,YBR028C_idr_1,1,40
YBR028C,YBR028C_idr_2,43,119
YBR029C,YBR029C_idr_1,1,55
YBR030W,YBR030W_idr_3,399,430
YBR033W,YBR033W_idr_1,1,51
YBR033W,YBR033W_idr_2,93,191
YBR033W,YBR033W_idr_4,210,349
YBR033W,YBR033W_idr_7,737,768
YBR033W,YBR033W_idr_8,852,889
YBR037C,YBR037C_idr_1,1,76
YBR038W,YBR038W_idr_1,1,228
YBR039W,YBR039W_idr_1,1,30
YBR041W,YBR041W_idr_1,1,39
YBR042C,YBR042C_idr_1,1,40
YBR043C,YBR043C_idr_1,1,85
YBR043C,YBR043C_idr_2,315,424
YBR045C,YBR045C_idr_9,220,280
YBR049C,YBR049C_idr_1,1,400
YBR049C,YBR049C_idr_2,571,686
YBR054W,YBR054W_idr_4,315,344
YBR055C,YBR055C_idr_3,165,198
YBR055C,YBR055C_idr_8,36,71
YBR059C,YBR059C_idr_2,331,1108
YBR060C,YBR060C_idr_1,1,239
YBR065C,YBR065C_idr_2,125,188
YBR065C,YBR065C_idr_4,324,364
YBR068C,YBR068C_idr_1,1,87
YBR069C,YBR069C_idr_1,1,87
YBR073W,YBR073W_idr_1,1,38
YBR073W,YBR073W_idr_2,848,909
YBR073W,YBR073W_idr_7,42,102
YBR073W,YBR073W_idr_8,152,229
YBR073W,YBR073W_idr_9,231,277
YBR074W,YBR074W_idr_1,1,51
YBR074W,YBR074W_idr_2,520,619
YBR078W,YBR078W_idr_2,356,420
YBR079C,YBR079C_idr_3,809,964
YBR079C,YBR079C_idr_6,499,550
YBR079C,YBR079C_idr_8,614,645
YBR081C,YBR081C_idr_6,1224,1332
YBR081C,YBR081C_idr_7,77,175
YBR081C,YBR081C_idr_8,186,442
YBR081C,YBR081C_idr_9,553,733
YBR081C,YBR081C_idr_10,756,844
YBR081C,YBR081C_idr_11,866,897
YBR083W,YBR083W_idr_5,67,124
YBR084W,YBR084W_idr_1,1,33
YBR086C,YBR086C_idr_8,594,946
YBR089C-A,YBR089C-A_idr_1,1,33
YBR095C,YBR095C_idr_5,242,285
YBR095C,YBR095C_idr_7,401,430
YBR097W,YBR097W_idr_2,919,1033
YBR097W,YBR097W_idr_7,1383,1420
YBR097W,YBR097W_idr_9,363,420
YBR097W,YBR097W_idr_13,788,846
YBR098W,YBR098W_idr_5,37,68
YBR098W,YBR098W_idr_6,84,371
YBR102C,YBR102C_idr_1,1,173
YBR102C,YBR102C_idr_2,270,314
YBR102C,YBR102C_idr_3,456,528
YBR103W,YBR103W_idr_2,106,141
YBR105C,YBR105C_idr_1,1,52
YBR108W,YBR108W_idr_2,35,67
YBR108W,YBR108W_idr_4,76,924
YBR112C,YBR112C_idr_2,513,966
YBR114W,YBR114W_idr_1,1,149
YBR115C,YBR115C_idr_2,1358,1392
YBR122C,YBR122C_idr_2,112,145
YBR123C,YBR123C_idr_5,514,614
YBR129C,YBR129C_idr_2,21,59
YBR129C,YBR129C_idr_4,156,205
YBR130C,YBR130C_idr_6,369,425
YBR131W,YBR131W_idr_2,279,317
YBR131W,YBR131W_idr_3,372,406
YBR132C,YBR132C_idr_1,1,80
YBR133C,YBR133C_idr_12,687,744
YBR135W,YBR135W_idr_2,113,149
YBR136W,YBR136W_idr_12,8,41
YBR136W,YBR136W_idr_25,1997,2037
YBR138C,YBR138C_idr_6,10,43
YBR138C,YBR138C_idr_7,84,119
YBR138C,YBR138C_idr_10,268,302
YBR139W,YBR139W_idr_1,1,31
YBR140C,YBR140C_idr_2,598,645
YBR140C,YBR140C_idr_6,840,1040
YBR140C,YBR140C_idr_11,1324,1360
YBR140C,YBR140C_idr_25,1935,2047
YBR140C,YBR140C_idr_26,2297,2327
YBR140C,YBR140C_idr_30,2621,2663
YBR140C,YBR140C_idr_38,3043,3092
YBR140C,YBR140C_idr_42,357,580
YBR142W,YBR142W_idr_6,63,168
YBR142W,YBR142W_idr_12,673,712
YBR147W,YBR147W_idr_4,102,161
YBR150C,YBR150C_idr_1,1,102
YBR150C,YBR150C_idr_2,146,265
YBR150C,YBR150C_idr_7,846,1067
YBR151W,YBR151W_idr_1,1,31
YBR152W,YBR152W_idr_1,1,30
YBR152W,YBR152W_idr_3,58,91
YBR156C,YBR156C_idr_2,41,640
YBR158W,YBR158W_idr_1,1,159
YBR162C,YBR162C_idr_3,169,216
YBR163W,YBR163W_idr_2,40,91
YBR163W,YBR163W_idr_6,403,453
YBR168W,YBR168W_idr_1,1,33
YBR168W,YBR168W_idr_4,250,302
YBR169C,YBR169C_idr_4,643,693
YBR170C,YBR170C_idr_1,81,114
YBR172C,YBR172C_idr_1,1,201
YBR172C,YBR172C_idr_4,283,635
YBR172C,YBR172C_idr_5,708,740
YBR179C,YBR179C_idr_1,1,31
YBR179C,YBR179C_idr_3,42,84
YBR180W,YBR180W_idr_1,1,92
YBR182C,YBR182C_idr_16,135,181
YBR185C,YBR185C_idr_1,1,49
YBR187W,YBR187W_idr_1,1,34
YBR187W,YBR187W_idr_2,134,184
YBR197C,YBR197C_idr_3,44,90
YBR198C,YBR198C_idr_1,1,56
YBR198C,YBR198C_idr_2,81,141
YBR199W,YBR199W_idr_2,43,79
YBR200W,YBR200W_idr_1,1,70
YBR200W,YBR200W_idr_3,220,280
YBR200W,YBR200W_idr_5,406,476
YBR202W,YBR202W_idr_4,810,845
YBR203W,YBR203W_idr_2,366,407
YBR203W,YBR203W_idr_4,426,461
YBR203W,YBR203W_idr_19,20,103
YBR203W,YBR203W_idr_22,114,180
YBR205W,YBR205W_idr_1,1,63
YBR207W,YBR207W_idr_2,41,119
YBR207W,YBR207W_idr_4,421,465
YBR212W,YBR212W_idr_1,1,31
YBR212W,YBR212W_idr_8,77,106
YBR212W,YBR212W_idr_15,434,501
YBR214W,YBR214W_idr_1,1,94
YBR214W,YBR214W_idr_2,404,481
YBR215W,YBR215W_idr_1,1,449
YBR215W,YBR215W_idr_4,488,574
YBR216C,YBR216C_idr_3,130,168
YBR217W,YBR217W_idr_1,1,97
YBR221C,YBR221C_idr_1,1,34
YBR223C,YBR223C_idr_1,1,75
YBR225W,YBR225W_idr_2,354,391
YBR225W,YBR225W_idr_4,506,552
YBR225W,YBR225W_idr_5,569,608
YBR225W,YBR225W_idr_6,654,684
YBR225W,YBR225W_idr_10,38,74
YBR227C,YBR227C_idr_1,1,36
YBR227C,YBR227C_idr_3,301,331
YBR227C,YBR227C_idr_12,81,123
YBR231C,YBR231C_idr_1,1,104
YBR231C,YBR231C_idr_3,187,230
YBR233W,YBR233W_idr_1,1,62
YBR235W,YBR235W_idr_1,1,58
YBR235W,YBR235W_idr_2,654,694
YBR235W,YBR235W_idr_5,860,1047
YBR236C,YBR236C_idr_1,1,103
YBR237W,YBR237W_idr_2,28,135
YBR237W,YBR237W_idr_4,148,192
YBR237W,YBR237W_idr_6,653,750
YBR238C,YBR238C_idr_4,65,128
YBR238C,YBR238C_idr_7,595,626
YBR239C,YBR239C_idr_1,1,35
YBR239C,YBR239C_idr_2,77,223
YBR240C,YBR240C_idr_2,71,152
YBR240C,YBR240C_idr_3,174,228
YBR245C,YBR245C_idr_3,758,813
YBR245C,YBR245C_idr_4,819,876
YBR245C,YBR245C_idr_5,1060,1129
YBR245C,YBR245C_idr_12,142,180
YBR245C,YBR245C_idr_13,656,740
YBR247C,YBR247C_idr_5,71,123
YBR250W,YBR250W_idr_1,1,47
YBR255W,YBR255W_idr_3,214,510
YBR260C,YBR260C_idr_5,302,462
YBR267W,YBR267W_idr_5,62,154
YBR269C,YBR269C_idr_1,1,34
YBR270C,YBR270C_idr_1,1,232
YBR270C,YBR270C_idr_3,247,289
YBR271W,YBR271W_idr_2,6,49
YBR273C,YBR273C_idr_2,112,150
YBR273C,YBR273C_idr_5,329,417
YBR274W,YBR274W_idr_4,344,415
YBR275C,YBR275C_idr_1,1,191
YBR275C,YBR275C_idr_2,1268,1681
YBR275C,YBR275C_idr_8,1768,1833
YBR276C,YBR276C_idr_4,539,575
YBR278W,YBR278W_idr_2,102,181
YBR279W,YBR279W_idr_6,355,445
YBR284W,YBR284W_idr_1,1,54
YBR284W,YBR284W_idr_5,90,125
YBR287W,YBR287W_idr_3,184,239
YBR288C,YBR288C_idr_2,159,194
YBR289W,YBR289W_idr_1,1,331
YBR289W,YBR289W_idr_6,663,716
YBR289W,YBR289W_idr_9,828,905
YBR290W,YBR290W_idr_2,7,82
YCL004W,YCL004W_idr_1,1,41
YCL008C,YCL008C_idr_2,160,229
YCL009C,YCL009C_idr_1,1,33
YCL010C,YCL010C_idr_2,74,117
YCL011C,YCL011C_idr_1,1,118
YCL011C,YCL011C_idr_3,299,343
YCL014W,YCL014W_idr_1,1,38
YCL014W,YCL014W_idr_8,683,1636
YCL017C,YCL017C_idr_1,1,40
YCL017C,YCL017C_idr_2,56,88
YCL024W,YCL024W_idr_4,367,933
YCL025C,YCL025C_idr_1,1,52
YCL025C,YCL025C_idr_2,70,112
YCL027W,YCL027W_idr_1,1,34
YCL027W,YCL027W_idr_10,309,435
YCL028W,YCL028W_idr_1,1,39
YCL028W,YCL028W_idr_2,58,405
YCL029C,YCL029C_idr_2,79,199
YCL031C,YCL031C_idr_4,219,253
YCL031C,YCL031C_idr_6,261,292
YCL032W,YCL032W_idr_2,151,249
YCL033C,YCL033C_idr_1,1,33
YCL034W,YCL034W_idr_3,158,203
YCL034W,YCL034W_idr_4,299,354
YCL036W,YCL036W_idr_4,168,207
YCL037C,YCL037C_idr_1,1,248
YCL037C,YCL037C_idr_4,400,434
YCL043C,YCL043C_idr_2,491,522
YCL048W,YCL048W_idr_1,1,34
YCL048W,YCL048W_idr_7,406,455
YCL051W,YCL051W_idr_1,1,35
YCL051W,YCL051W_idr_5,49,125
YCL051W,YCL051W_idr_6,143,403
YCL051W,YCL051W_idr_7,412,513
YCL051W,YCL051W_idr_8,515,578
YCL054W,YCL054W_idr_5,332,390
YCL054W,YCL054W_idr_6,417,655
YCL055W,YCL055W_idr_1,1,35
YCL057W,YCL057W_idr_1,1,32
YCL059C,YCL059C_idr_3,229,316
YCL061C,YCL061C_idr_3,797,836
YCL061C,YCL061C_idr_4,854,1096
YCL061C,YCL061C_idr_8,69,122
YCL061C,YCL061C_idr_9,145,282
YCL061C,YCL061C_idr_10,284,470
YCL061C,YCL061C_idr_12,486,761
YCL067C,YCL067C_idr_4,100,129
YCR003W,YCR003W_idr_1,1,61
YCR004C,YCR004C_idr_2,207,244
YCR008W,YCR008W_idr_1,1,307
YCR010C,YCR010C_idr_1,1,41
YCR011C,YCR011C_idr_1,1,42
YCR014C,YCR014C_idr_2,116,167
YCR014C,YCR014C_idr_6,465,494
YCR016W,YCR016W_idr_2,18,112
YCR016W,YCR016W_idr_4,212,250
YCR017C,YCR017C_idr_3,225,254
YCR023C,YCR023C_idr_3,253,343
YCR023C,YCR023C_idr_5,572,611
YCR026C,YCR026C_idr_3,643,707
YCR028C,YCR028C_idr_2,468,512
YCR030C,YCR030C_idr_5,236,612
YCR032W,YCR032W_idr_21,1193,1231
YCR032W,YCR032W_idr_29,1297,1370
YCR032W,YCR032W_idr_30,1410,1445
YCR032W,YCR032W_idr_31,1502,1551
YCR033W,YCR033W_idr_1,1,483
YCR033W,YCR033W_idr_2,554,620
YCR033W,YCR033W_idr_4,723,900
YCR033W,YCR033W_idr_5,923,1226
YCR034W,YCR034W_idr_2,302,347
YCR037C,YCR037C_idr_1,38,153
YCR037C,YCR037C_idr_2,195,275
YCR037C,YCR037C_idr_3,407,436
YCR039C,YCR039C_idr_4,100,129
YCR042C,YCR042C_idr_7,1164,1202
YCR042C,YCR042C_idr_9,1304,1367
YCR042C,YCR042C_idr_18,300,330
YCR042C,YCR042C_idr_20,776,806
YCR047C,YCR047C_idr_2,207,238
YCR048W,YCR048W_idr_2,32,82
YCR048W,YCR048W_idr_3,131,171
YCR048W,YCR048W_idr_5,328,357
YCR052W,YCR052W_idr_2,129,180
YCR052W,YCR052W_idr_3,272,302
YCR054C,YCR054C_idr_2,404,438
YCR057C,YCR057C_idr_2,856,923
YCR061W,YCR061W_idr_1,1,68
YCR061W,YCR061W_idr_2,206,294
YCR065W,YCR065W_idr_1,1,103
YCR065W,YCR065W_idr_2,197,455
YCR065W,YCR065W_idr_4,533,564
YCR066W,YCR066W_idr_3,116,183
YCR066W,YCR066W_idr_4,213,271
YCR066W,YCR066W_idr_6,406,487
YCR067C,YCR067C_idr_2,383,1065
YCR068W,YCR068W_idr_1,1,52
YCR069W,YCR069W_idr_1,1,42
YCR071C,YCR071C_idr_1,1,42
YCR073C,YCR073C_idr_1,1,63
YCR073C,YCR073C_idr_6,676,722
YCR073C,YCR073C_idr_7,943,1027
YCR077C,YCR077C_idr_2,403,471
YCR077C,YCR077C_idr_7,12,45
YCR077C,YCR077C_idr_8,48,277
YCR077C,YCR077C_idr_11,314,385
YCR081W,YCR081W_idr_7,419,465
YCR081W,YCR081W_idr_17,1037,1071
YCR084C,YCR084C_idr_2,93,143
YCR088W,YCR088W_idr_3,143,532
YCR089W,YCR089W_idr_1,1,1599
YCR091W,YCR091W_idr_1,1,315
YCR092C,YCR092C_idr_1,1,125
YCR093W,YCR093W_idr_2,989,1077
YCR093W,YCR093W_idr_3,1276,1370
YCR093W,YCR093W_idr_18,736,782
YDL001W,YDL001W_idr_1,1,119
YDL002C,YDL002C_idr_4,161,203
YDL003W,YDL003W_idr_2,148,330
YDL003W,YDL003W_idr_4,391,481
YDL005C,YDL005C_idr_2,109,431
YDL007W,YDL007W_idr_1,1,37
YDL008W,YDL008W_idr_2,113,162
YDL010W,YDL010W_idr_3,39,109
YDL012C,YDL012C_idr_1,1,82
YDL014W,YDL014W_idr_1,1,82
YDL019C,YDL019C_idr_7,391,585
YDL019C,YDL019C_idr_12,656,895
YDL020C,YDL020C_idr_6,96,126
YDL020C,YDL020C_idr_11,213,424
YDL022W,YDL022W_idr_1,1,32
YDL025C,YDL025C_idr_1,1,292
YDL025C,YDL025C_idr_4,590,620
YDL028C,YDL028C_idr_1,1,431
YDL028C,YDL028C_idr_4,732,764
YDL030W,YDL030W_idr_8,354,392
YDL031W,YDL031W_idr_1,1,131
YDL031W,YDL031W_idr_6,879,924
YDL031W,YDL031W_idr_9,938,995
YDL031W,YDL031W_idr_11,560,604
YDL031W,YDL031W_idr_14,616,672
YDL031W,YDL031W_idr_17,708,785
YDL035C,YDL035C_idr_4,339,381
YDL035C,YDL035C_idr_6,416,609
YDL035C,YDL035C_idr_7,784,815
YDL035C,YDL035C_idr_9,891,951
YDL036C,YDL036C_idr_1,1,91
YDL040C,YDL040C_idr_3,626,675
YDL042C,YDL042C_idr_1,1,109
YDL042C,YDL042C_idr_2,180,216
YDL048C,YDL048C_idr_2,59,133
YDL048C,YDL048C_idr_3,144,256
YDL051W,YDL051W_idr_2,221,275
YDL052C,YDL052C_idr_1,1,32
YDL052C,YDL052C_idr_2,252,303
YDL053C,YDL053C_idr_1,1,33
YDL053C,YDL053C_idr_2,53,105
YDL054C,YDL054C_idr_4,234,266
YDL056W,YDL056W_idr_2,113,341
YDL058W,YDL058W_idr_2,95,127
YDL058W,YDL058W_idr_4,449,487
YDL058W,YDL058W_idr_7,717,1790
YDL060W,YDL060W_idr_1,1,66
YDL060W,YDL060W_idr_2,317,487
YDL063C,YDL063C_idr_1,1,35
YDL063C,YDL063C_idr_4,305,338
YDL065C,YDL065C_idr_1,1,68
YDL065C,YDL065C_idr_2,81,136
YDL070W,YDL070W_idr_1,1,132
YDL070W,YDL070W_idr_2,433,520
YDL070W,YDL070W_idr_4,585,638
YDL073W,YDL073W_idr_3,663,801
YDL073W,YDL073W_idr_13,349,379
YDL074C,YDL074C_idr_4,196,262
YDL076C,YDL076C_idr_1,1,65
YDL079C,YDL079C_idr_4,87,142
YDL080C,YDL080C_idr_3,574,604
YDL081C,YDL081C_idr_2,67,106
YDL084W,YDL084W_idr_1,1,57
YDL085W,YDL085W_idr_1,1,59
YDL088C,YDL088C_idr_1,1,49
YDL088C,YDL088C_idr_2,63,103
YDL088C,YDL088C_idr_3,121,172
YDL088C,YDL088C_idr_4,197,263
YDL088C,YDL088C_idr_6,401,461
YDL089W,YDL089W_idr_4,360,484
YDL090C,YDL090C_idr_1,1,35
YDL095W,YDL095W_idr_1,1,52
YDL095W,YDL095W_idr_3,747,783
YDL099W,YDL099W_idr_1,1,249
YDL101C,YDL101C_idr_1,1,30
YDL101C,YDL101C_idr_2,141,191
YDL102W,YDL102W_idr_1,1,98
YDL105W,YDL105W_idr_1,1,41
YDL105W,YDL105W_idr_2,155,213
YDL106C,YDL106C_idr_1,1,78
YDL106C,YDL106C_idr_2,129,207
YDL106C,YDL106C_idr_4,292,331
YDL106C,YDL106C_idr_5,415,454
YDL106C,YDL106C_idr_7,466,559
YDL109C,YDL109C_idr_5,419,459
YDL110C,YDL110C_idr_3,116,150
YDL113C,YDL113C_idr_1,1,153
YDL113C,YDL113C_idr_6,497,538
YDL115C,YDL115C_idr_3,77,107
YDL115C,YDL115C_idr_5,190,272
YDL115C,YDL115C_idr_6,288,323
YDL117W,YDL117W_idr_2,74,429
YDL120W,YDL120W_idr_1,1,61
YDL122W,YDL122W_idr_5,59,94
YDL122W,YDL122W_idr_6,144,191
YDL122W,YDL122W_idr_7,273,309
YDL122W,YDL122W_idr_8,512,668
YDL122W,YDL122W_idr_9,743,809
YDL123W,YDL123W_idr_1,74,140
YDL126C,YDL126C_idr_1,1,31
YDL126C,YDL126C_idr_7,791,835
YDL127W,YDL127W_idr_2,173,299
YDL129W,YDL129W_idr_6,191,244
YDL130W,YDL130W_idr_2,66,106
YDL132W,YDL132W_idr_9,710,742
YDL133W,YDL133W_idr_1,1,63
YDL133W,YDL133W_idr_2,91,125
YDL134C,YDL134C_idr_2,20,59
